"id","creator","site","dating","lat","lon","url_description_file","url_single_artefacts_file","url_multi_artefacts_file"
"Albersdorf_LA5","Hauke Dibbern","Albersdorf LA5","Neolithikum","54.14353","9.290889","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Albersdorf_LA5_description.txt",,"https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Albersdorf_LA5_multi.csv"
"Albersdorf_LA56","Hauke Dibbern","Albersdorf LA56","Neolithikum","54.13555","9.294039","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Albersdorf_LA56_description.txt","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Albersdorf_LA56_single.csv","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Albersdorf_LA56_multi.csv"
"Albersdorf_LA68","Hauke Dibbern","Albersdorf LA68","Neolithikum","54.13288","9.279020","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Albersdorf_LA68_description.txt",,"https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Albersdorf_LA68_multi.csv"
"Bad_Oldesloe-Wolkenwehe_LA154","Jan Piet Brozio","Bad Oldesloe-Wolkenwehe LA154","Neolithikum","53.81848","10.35367","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Bad-Oldesloe_Wolkenwehe_LA154_description.txt","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Bad_Oldesloe-Wolkenwehe_LA154_single.csv","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Bad_Oldesloe-Wolkenwehe_LA154_multi.csv"
"Hundisburg-Olbetal","Kay Schmütz","Hundisburg-Olbetal ","Neolithikum","52.23348","11.38556","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Hundisburg_Olbetal_description.txt","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Hundisburg_Olbetal_single.csv","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Hundisburg_Olbetal_multi.csv"
"Kuesterberg","Kay Schmütz","Küsterberg Hun14","Neolithikum","52.26526","11.38675","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Kuesterberg_description.txt","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Kuesterberg_single.csv","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Kuesterberg_multi.csv"
"Oldenburg-Dannau_LA77","Jan Piet Brozio","Oldenburg-Dannau LA77","Neolithikum","54.29294","10.85134","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Oldenburg_Dannau_LA77_description.txt","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Oldenburg-Dannau_LA77_single.csv","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Oldenburg-Dannau_LA77_multi.csv"
"Wangels_LA69","Jan Piet Brozio","Wangels LA69","Neolithikum","54.27844","10.78886","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Wangels_LA69_description.txt","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Wangels_LA69_single.csv","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Wangels_LA69_multi.csv"
"Buedelsdorf-Borgstedt","Franziska Hage","Büdelsdorf & Bordstedt","Neolithikum","54.312037"," 9.687573","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Borgstedt_description.txt","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Borgstedt_single.csv","https://www.jma.uni-kiel.de/en/research-projects/data-exchange-platform/sds-2013-systematic-digital-collection-of-data-sets-of-stone-artefacts/sds_data/Borgstedt_description.txtmulti.csv"
